archiveId,title,missingTownship,missingSubject,missingDonation
AIF01,Mother and Daisy Aiken,,person,
AS10,Paoli Store & Toll House,,Businesses,
AS12,"Routes 30 & 252, Paoli",,Businesses,
AS4,Dewees and Bracken Coal and Lumber Company,,Transportation,
BAF01,Marion Edith Baugh,,person,
BAF02,Anthony Wayne Baugh,,person,
BAV01,"Berwyn Avenue looking west from Woodside Avenue, 1911",,View,
BAV02,Berwyn Avenue,,View,
BAV03,Berwyn Avenue,,View,
BAV04,Berwyn Avenue,,View,
BAV05,Berwyn Avenue,,Road,
BAV06,Berwyn Avenue,,Road,
BAV07,Berwyn Avenue,,Road,
BBR01,Site of Berwyn Baptist Road apartments,,Place,
BBR02,Site of Berwyn Baptist Road apartments,,Place,
BBR03,Site of Berwyn Baptist Road apartments,,Place,
BBR04,Site of Berwyn-baptist Road appartments,,Place,
BBR05,Site of Berwyn Baptist Road apartments,,Place,
BBR06,Berwyn Baptist Road (Quigleytown) townhouses,,Place,
BBR08,Berwyn Baptist Road townhouses,,Place,
BBR09,Berwyn Baptist Road townhouses,,Place,
BBR10,Berwyn Baptist Road townhouses,,Place,
BBR11,Berwyn Baptist Road townhouses,,Place,
BBU1,Burroughs Facility,,Businesses,
BBU2,Entrance to Burroughs Research Center,,Businesses,
BBU3,Burroughs Radar Tower,,Businesses,
BCA01,"Church Ave, south from Lancaster Ave, Berwyn,",,Road,
BCA02,"Church Avenue, Berwyn",,Road,
BCA03,"Church Avenue, Berwyn",,Road,
BE1,Bocce Club,,Place,
BE10,"Lincoln Highway, Berwyn",,Place,
BE100,Conestoga and Cassatt Roads,,Place,
BE101,View of ACME site,,Place,
BE114,Fire House and Ambulance Service,,Place,
BE115,Fire House and Ambulance Service,,Place,
BE117,View of NE Berwyn from Station,,Place,
BE118,Cassatt and State Roads,,Place,
BE119,Cassatt and State Roads,,Place,
BE121,"Warren Avenue, Berwyn",,Place,
BE122,"Warren Avenue, Berwyn",,Place,
BE123,"Warren Avenue, Berwyn",,Place,
BE124,"Warren Avenue, Berwyn",,Place,
BE125,"Warren Avenue, Berwyn after Hurricane Hazel",,Place,
BE126,"Warren Avenue, Berwyn",,Place,
BE127,"Warren Avenue, Berwyn after Hurricane Hazel",,Place,
BE128,"Warren Avenue, Berwyn after Hurricane Hazel",,Place,
BE129,Kromer Avenue,,Place,
BE130,Kromer Avenue,,Place,
BE131,"Roberts home, Kromer Avenue, Berwyn",,Place,
BE132,Trout Run below Laurel Dell,,Place,
BE134,"Armistice Day, Berwyn, 1920",,Place,
BE135,"Armistice Day, Berwyn, 1920",,Place,
BE136,"Armistice Day, Berwyn, 1920",,Place,
BE137,"Armistice Day, Berwyn, 1920",,Place,
BE138,Berwyn view,,Place,
BE139,Berwyn view,,Place,
BE140,Berwyn view,,Place,
BE141,Berwyn view,,Place,
BE142,Berwyn view,,Place,
